epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,10296.9,0.4531,0.33735,1.07309,0.97971,0.95925,0.98189,0.91465,0.39722,0.21006,1.03232,0.005644,0.005644,0.005644
90,10411.5,0.44716,0.33337,1.0669,0.97756,0.96231,0.98194,0.91399,0.40033,0.21114,1.03754,0.0055945,0.0055945,0.0055945
91,10526.9,0.44869,0.33549,1.06687,0.97706,0.96161,0.98111,0.91506,0.402,0.20971,1.03651,0.005545,0.005545,0.005545
92,10642.1,0.44752,0.33277,1.06724,0.97367,0.96234,0.9812,0.9156,0.40011,0.2074,1.03584,0.0054955,0.0054955,0.0054955
93,10758.2,0.44342,0.32595,1.06559,0.97962,0.95974,0.98152,0.91633,0.39902,0.20128,1.03781,0.005446,0.005446,0.005446
94,10874.2,0.44237,0.32905,1.06179,0.98273,0.95827,0.98174,0.91551,0.39746,0.20065,1.03282,0.0053965,0.0053965,0.0053965
95,10989.1,0.44273,0.32735,1.06328,0.97694,0.96367,0.9819,0.91677,0.39625,0.20026,1.03309,0.005347,0.005347,0.005347
96,11105.4,0.43772,0.32623,1.05841,0.98011,0.95729,0.98139,0.91693,0.39652,0.20352,1.03536,0.0052975,0.0052975,0.0052975
97,11221.4,0.43827,0.3253,1.06216,0.98011,0.95778,0.98181,0.91745,0.39465,0.20282,1.03501,0.005248,0.005248,0.005248
98,11336.9,0.43802,0.3183,1.06012,0.98151,0.95484,0.98141,0.91683,0.39293,0.20263,1.03412,0.0051985,0.0051985,0.0051985
99,11452.4,0.43016,0.31821,1.05103,0.97558,0.95974,0.98136,0.91692,0.38966,0.20484,1.03256,0.005149,0.005149,0.005149
100,11566.9,0.42704,0.31532,1.04949,0.97473,0.96073,0.98134,0.91718,0.38687,0.20607,1.03141,0.0050995,0.0050995,0.0050995
101,11682.4,0.42509,0.31518,1.0498,0.97989,0.95698,0.98216,0.91671,0.38675,0.20154,1.03284,0.00505,0.00505,0.00505
102,11797.7,0.4243,0.31263,1.04673,0.97666,0.9622,0.98123,0.91629,0.3886,0.19841,1.03798,0.0050005,0.0050005,0.0050005
103,11911.8,0.42695,0.31654,1.04775,0.97654,0.9604,0.98192,0.91686,0.38935,0.20332,1.03746,0.004951,0.004951,0.004951
104,12026.9,0.42207,0.30936,1.04361,0.97559,0.96141,0.98156,0.91689,0.38857,0.20369,1.03768,0.0049015,0.0049015,0.0049015
105,12142.5,0.42013,0.30785,1.0408,0.97512,0.96193,0.9816,0.91683,0.38674,0.20237,1.03708,0.004852,0.004852,0.004852
106,12257.4,0.41746,0.30631,1.04003,0.97859,0.95827,0.98137,0.91721,0.38688,0.20094,1.0397,0.0048025,0.0048025,0.0048025
107,12372.7,0.4182,0.30828,1.04467,0.97703,0.95974,0.98149,0.91716,0.38715,0.20106,1.04101,0.004753,0.004753,0.004753
108,12488.2,0.41671,0.30629,1.04074,0.97332,0.96367,0.9817,0.91798,0.38637,0.1993,1.04021,0.0047035,0.0047035,0.0047035
109,12602.6,0.4137,0.30605,1.04328,0.97562,0.96268,0.98197,0.91816,0.38593,0.19811,1.04021,0.004654,0.004654,0.004654
110,12717.7,0.40814,0.29781,1.03758,0.97747,0.96171,0.98205,0.91835,0.38205,0.19852,1.03642,0.0046045,0.0046045,0.0046045
111,12832.8,0.40863,0.30008,1.0382,0.97547,0.96171,0.98149,0.91772,0.38244,0.19899,1.03754,0.004555,0.004555,0.004555
112,12948.5,0.40554,0.29613,1.03445,0.97815,0.95925,0.98148,0.91785,0.38311,0.20048,1.03933,0.0045055,0.0045055,0.0045055
113,13064.2,0.40287,0.29342,1.03085,0.9788,0.96073,0.98162,0.91715,0.38309,0.19939,1.03945,0.004456,0.004456,0.004456
114,13179.7,0.39672,0.29019,1.02732,0.97755,0.96203,0.9813,0.91706,0.38354,0.19747,1.04146,0.0044065,0.0044065,0.0044065
115,13294.2,0.40068,0.29516,1.03026,0.97733,0.96171,0.98108,0.9172,0.38391,0.19737,1.04222,0.004357,0.004357,0.004357
116,13409.6,0.40149,0.2939,1.03108,0.97372,0.96412,0.98044,0.91681,0.38325,0.19651,1.04279,0.0043075,0.0043075,0.0043075
117,13525.2,0.39752,0.29025,1.02558,0.97944,0.95888,0.98096,0.91753,0.38274,0.196,1.04178,0.004258,0.004258,0.004258
118,13640.7,0.39373,0.28639,1.02453,0.97897,0.95986,0.98068,0.91727,0.3821,0.1958,1.04157,0.0042085,0.0042085,0.0042085
119,13756.1,0.38948,0.28739,1.02093,0.97897,0.95996,0.98076,0.91751,0.38075,0.19767,1.04031,0.004159,0.004159,0.004159
120,13871.1,0.39107,0.28588,1.02105,0.98166,0.95925,0.98053,0.91696,0.38047,0.1977,1.03906,0.0041095,0.0041095,0.0041095
121,13986.8,0.39323,0.28604,1.02195,0.98043,0.95938,0.98062,0.91693,0.3794,0.19728,1.03846,0.00406,0.00406,0.00406
122,14101.8,0.38603,0.28332,1.0192,0.97996,0.96025,0.9807,0.91674,0.37922,0.19807,1.03878,0.0040105,0.0040105,0.0040105
123,14216.3,0.38281,0.27784,1.01774,0.97939,0.96073,0.98106,0.91677,0.37959,0.1976,1.03917,0.003961,0.003961,0.003961
124,14331.7,0.38283,0.2782,1.01309,0.97993,0.95899,0.9813,0.91678,0.37842,0.19513,1.0379,0.0039115,0.0039115,0.0039115
125,14447,0.38322,0.27828,1.01401,0.9785,0.96086,0.98131,0.91686,0.3789,0.1946,1.03929,0.003862,0.003862,0.003862
126,14561.3,0.38678,0.2801,1.01553,0.98113,0.95925,0.98158,0.91652,0.37788,0.19468,1.03829,0.0038125,0.0038125,0.0038125
127,14676.8,0.3783,0.2754,1.01113,0.98174,0.95778,0.98133,0.91695,0.37753,0.19507,1.03846,0.003763,0.003763,0.003763
128,14791.4,0.38071,0.27511,1.01447,0.98188,0.95787,0.98141,0.91694,0.37763,0.19343,1.03865,0.0037135,0.0037135,0.0037135
129,14906.4,0.37425,0.26865,1.00782,0.97748,0.96465,0.98132,0.91699,0.3767,0.1929,1.03796,0.003664,0.003664,0.003664
130,15020.8,0.37347,0.27074,1.00797,0.97626,0.96367,0.98105,0.91785,0.37739,0.19331,1.03917,0.0036145,0.0036145,0.0036145
