epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,6554.2,0.59106,0.448,1.20634,0.92888,0.90944,0.96391,0.82985,0.65267,0.42428,1.30368,0.0052975,0.0052975,0.0052975
97,6621.67,0.5977,0.44784,1.21238,0.94699,0.90022,0.96311,0.83072,0.65038,0.42551,1.29814,0.005248,0.005248,0.005248
98,6689.43,0.59061,0.44381,1.20526,0.93138,0.916,0.96248,0.82707,0.64595,0.42066,1.2832,0.0051985,0.0051985,0.0051985
99,6758.04,0.58475,0.44201,1.20025,0.93239,0.90685,0.96005,0.82546,0.65617,0.43861,1.29244,0.005149,0.005149,0.005149
100,6826.14,0.58278,0.44052,1.19933,0.92547,0.9127,0.9653,0.83048,0.63823,0.43515,1.28983,0.0050995,0.0050995,0.0050995
101,6894.44,0.57738,0.43512,1.19744,0.9438,0.9097,0.96641,0.834,0.65044,0.42643,1.29987,0.00505,0.00505,0.00505
102,6962.59,0.5861,0.44089,1.2055,0.92747,0.91575,0.96389,0.83858,0.64006,0.44006,1.2909,0.0050005,0.0050005,0.0050005
103,7030.35,0.58158,0.43923,1.19639,0.92957,0.91456,0.96603,0.82595,0.64981,0.42787,1.30182,0.004951,0.004951,0.004951
104,7098.75,0.57575,0.42941,1.19118,0.91706,0.9273,0.96555,0.83222,0.65024,0.42436,1.30265,0.0049015,0.0049015,0.0049015
105,7165.64,0.57364,0.4322,1.19047,0.92259,0.91543,0.96342,0.82986,0.64939,0.42344,1.29618,0.004852,0.004852,0.004852
106,7233.48,0.57086,0.42972,1.1884,0.91285,0.92972,0.96262,0.82221,0.65686,0.41604,1.29993,0.0048025,0.0048025,0.0048025
107,7301.92,0.56736,0.4197,1.18826,0.93126,0.91664,0.96444,0.8324,0.65333,0.42557,1.3138,0.004753,0.004753,0.004753
